date,stock_id,ticker,open,high,low,close,volume,ma_5,ma_20,rsi_14,volatility_20d,trend,daily_return
2024-04-03,BBRI.JK,BBRI,4915.0487282986105,5003.211037326389,4870.967573784722,4959.1298828125,333518700,,,,,neutral,
2024-04-04,BBRI.JK,BBRI,4981.1707956414475,5069.3331106085525,4981.1707956414475,5025.251953125,131936100,,,,,neutral,0.013333
2024-04-05,BBRI.JK,BBRI,4959.130319240874,5025.252056830752,4959.130319240874,4981.1708984375,178817800,,,,,neutral,-0.008772
2024-04-16,BBRI.JK,BBRI,4738.724661853826,4915.0493004344335,4716.68408203125,4716.68408203125,600717500,,,,,neutral,-0.053097
2024-04-17,BBRI.JK,BBRI,4826.88658516362,4848.927163178066,4672.6025390625,4672.6025390625,244002000,4870.9679,,,,neutral,-0.009346
2024-04-18,BBRI.JK,BBRI,4672.602668378996,4848.927297374429,4672.602668378996,4826.88671875,247410700,4844.5192,,,,neutral,0.033019
2024-04-19,BBRI.JK,BBRI,4716.683746482523,4738.724324737114,4628.521433464159,4650.56201171875,258211500,4769.5812,,,,neutral,-0.03653
2024-04-22,BBRI.JK,BBRI,4584.440227004717,4694.643117076946,4540.3590709758255,4672.6025390625,342282800,4707.8676,,,,neutral,0.004739
2024-04-23,BBRI.JK,BBRI,4716.683695091391,4760.764851120283,4606.480805019163,4672.6025390625,281403100,4699.0513,,,,neutral,0.0
2024-04-24,BBRI.JK,BBRI,4628.52202639055,4716.6843507027515,4540.359702078349,4606.4814453125,471241400,4685.8271,,,,neutral,-0.014151
2024-04-25,BBRI.JK,BBRI,4518.318795509709,4584.440533980583,4452.197057038835,4540.359375,479170900,4628.5216,,,,neutral,-0.014354
2024-04-26,BBRI.JK,BBRI,4452.196325456133,4496.277477193323,4258.2392578125,4258.2392578125,782589900,4550.057,,,,neutral,-0.062136
2024-04-29,BBRI.JK,BBRI,4143.628666715802,4311.13705962559,4125.996204304245,4205.34228515625,700644800,4456.605,,,,neutral,-0.012422
2024-04-30,BBRI.JK,BBRI,4275.872180027518,4452.1968060080335,4249.42348613044,4355.21826171875,565609200,4393.1281,,,,neutral,0.035639
2024-05-02,BBRI.JK,BBRI,4328.7693414768255,4337.585572314863,4143.62849387802,4196.52587890625,636922100,4311.137,,42.89,,neutral,-0.036437
2024-05-03,BBRI.JK,BBRI,4196.52619243421,4258.239812911184,4152.445034950658,4187.7099609375,321697200,4240.6071,,42.59,,neutral,-0.002101
2024-05-06,BBRI.JK,BBRI,4231.790840292276,4267.055763961378,4170.077223871346,4222.974609375,262707400,4233.5542,,44.25,,neutral,0.008421
2024-05-07,BBRI.JK,BBRI,4205.342492179136,4214.158723818924,4117.18017578125,4117.18017578125,304013600,4215.9218,,40.47,,neutral,-0.025052
2024-05-08,BBRI.JK,BBRI,4099.547400841346,4178.893479567308,4029.017553084936,4125.99609375,572275800,4170.0773,,40.92,,neutral,0.002141
2024-05-13,BBRI.JK,BBRI,4099.547400841346,4143.6285556891025,4081.9149389022436,4125.99609375,320067100,4155.9714,4505.9758,40.92,,bearish,0.0
2024-05-14,BBRI.JK,BBRI,4161.261404928647,4240.607491039575,4143.628941348441,4170.07763671875,341458900,4152.4449,4466.5232,43.42,0.400019,bearish,0.010684
2024-05-15,BBRI.JK,BBRI,4214.158900090768,4293.5049881677905,4196.526436073652,4249.423828125,298990300,4157.7348,4427.7318,47.71,0.404592,bearish,0.019028
2024-05-16,BBRI.JK,BBRI,4346.402237821217,4372.850932980372,4267.05615234375,4267.05615234375,371295000,4187.71,4392.0261,48.64,0.406874,bearish,0.004149
2024-05-17,BBRI.JK,BBRI,4267.056084857723,4372.850863821138,4249.423621697154,4337.5859375,208991800,4230.0279,4373.0712,52.3,0.37711,bearish,0.016529
2024-05-20,BBRI.JK,BBRI,4399.299772270488,4452.197164321836,4249.423828125,4249.423828125,335150700,4254.7135,4351.9122,47.72,0.381201,bearish,-0.020325
2024-05-21,BBRI.JK,BBRI,4240.607096354167,4293.504482171475,4125.99609375,4125.99609375,271568800,4245.8972,4316.8677,42.16,0.363524,bearish,-0.029046
2024-05-22,BBRI.JK,BBRI,4099.547610525357,4205.342387571173,4099.547610525357,4161.26123046875,215066000,4228.2646,4292.4027,44.16,0.350875,bearish,0.008547
2024-05-27,BBRI.JK,BBRI,4143.628723815247,4161.26118646978,4011.38525390625,4011.38525390625,363719300,4177.1305,4259.3418,38.12,0.36494,bearish,-0.036017
2024-05-28,BBRI.JK,BBRI,4037.833841016487,4081.9149964860994,3984.936454452952,3993.752685546875,258070200,4108.3638,4225.3993,37.47,0.364099,bearish,-0.004396
2024-05-29,BBRI.JK,BBRI,3949.671378968254,3967.303840481505,3879.1415329152496,3887.957763671875,465008500,4036.0706,4189.4731,33.76,0.369652,bearish,-0.02649
2024-05-30,BBRI.JK,BBRI,3879.141739797374,3949.671589611872,3799.7956587560643,3861.50927734375,502927800,3983.1732,4155.5306,32.88,0.36895,bearish,-0.006803
2024-05-31,BBRI.JK,BBRI,3905.5904664773543,3940.8553916825676,3817.428153464322,3826.244384765625,655144100,3916.1699,4133.9309,31.7,0.308436,bearish,-0.009132
2024-06-03,BBRI.JK,BBRI,3905.59037460765,4020.201378828642,3879.141681325883,3993.752685546875,345770100,3912.6434,4123.3514,42.32,0.352272,bearish,0.043779
2024-06-04,BBRI.JK,BBRI,4020.2014439957866,4046.6501377062855,3923.222900390625,3923.222900390625,332902200,3898.5374,4101.7516,39.53,0.325865,bearish,-0.01766
2024-06-05,BBRI.JK,BBRI,3967.3044100674715,3967.3044100674715,3879.14208984375,3879.14208984375,240788500,3896.7743,4085.8824,37.85,0.305255,bearish,-0.011236
2024-06-06,BBRI.JK,BBRI,3923.223282877604,3967.304443359375,3870.325890299479,3967.304443359375,281534200,3917.9333,4074.8622,43.06,0.319426,bearish,0.022727
2024-06-07,BBRI.JK,BBRI,3958.4880348644037,3967.3042665678877,3835.060791015625,3835.060791015625,375439600,3919.6966,4055.4665,37.92,0.334508,bearish,-0.033333
2024-06-10,BBRI.JK,BBRI,3835.0609297318892,3905.5907859108665,3808.6122336647727,3879.14208984375,181387000,3896.7745,4043.5646,40.47,0.32999,bearish,0.011494
2024-06-11,BBRI.JK,BBRI,3861.5093099708383,3914.406697778658,3826.244384765625,3826.244384765625,197854400,3877.3788,4028.577,38.43,0.331625,bearish,-0.013636
2024-06-12,BBRI.JK,BBRI,3826.2445593121406,3843.877022719109,3799.7958642016883,3835.060791015625,187332500,3868.5625,4014.0302,38.99,0.332053,bearish,0.002304
2024-06-13,BBRI.JK,BBRI,3879.1417352450694,3896.7741976780017,3790.979423080409,3799.795654296875,238349600,3835.0607,3995.5161,37.54,0.328313,bearish,-0.009195
2024-06-14,BBRI.JK,BBRI,3790.9795938154157,3808.612057042464,3676.3685828396005,3685.184814453125,358893200,3805.0855,3967.3042,33.22,0.328118,bearish,-0.030162
2024-06-19,BBRI.JK,BBRI,3614.65478515625,3738.082021722561,3605.838553972942,3614.65478515625,410338400,3752.1881,3934.6841,30.86,0.328135,bearish,-0.019139
2024-06-20,BBRI.JK,BBRI,3641.1035236296107,3764.53076171875,3641.1035236296107,3764.53076171875,387133400,3739.8454,3906.0313,40.51,0.363,bearish,0.041463
2024-06-21,BBRI.JK,BBRI,3773.347271343609,3958.488142133833,3755.714807458826,3914.406982421875,532713300,3755.7146,3889.2805,48.28,0.394693,bullish,0.039813
2024-06-24,BBRI.JK,BBRI,3914.4070179332384,3976.120642089844,3879.14208984375,3879.14208984375,303830800,3771.5839,3876.9378,46.73,0.383961,neutral,-0.009009
2024-06-25,BBRI.JK,BBRI,3808.6118899828766,3879.141739797374,3773.346965075628,3861.50927734375,383572500,3806.8488,3861.9502,45.94,0.381633,neutral,-0.004546
2024-06-26,BBRI.JK,BBRI,3870.325332746353,3905.590256051559,3835.060409441147,3852.69287109375,150303400,3854.4564,3854.0156,45.53,0.361729,neutral,-0.002283
2024-06-27,BBRI.JK,BBRI,3887.957907090807,3967.303986827354,3861.5092138452915,3932.0390625,299430600,3887.9581,3850.9299,49.92,0.370105,bullish,0.020595
2024-06-28,BBRI.JK,BBRI,4046.6500774881115,4090.731233016304,4037.8338463824725,4055.46630859375,581319300,3916.1699,3859.3053,55.88,0.373255,bullish,0.03139
2024-07-01,BBRI.JK,BBRI,4081.915283203125,4117.180210055852,4020.201661210853,4081.915283203125,261421200,3956.7246,3870.3256,57.06,0.371906,bullish,0.006522
2024-07-02,BBRI.JK,BBRI,4064.2827484998975,4081.9152116170335,4029.017822265625,4029.017822265625,234403100,3990.2263,3880.4643,53.95,0.37381,bullish,-0.012959
2024-07-03,BBRI.JK,BBRI,4081.9150019106655,4090.731233016304,4020.2013841711955,4055.46630859375,176310400,4030.781,3883.55,55.26,0.341726,bullish,0.006564
2024-07-04,BBRI.JK,BBRI,4125.996069284968,4258.239533044102,4108.3636074504175,4222.974609375,422261500,4088.9681,3898.5376,62.54,0.362519,bullish,0.041304
2024-07-05,BBRI.JK,BBRI,4275.872172037761,4293.504634602865,4222.974784342448,4231.791015625,218278000,4124.233,3916.17,62.88,0.358183,bullish,0.002088
2024-07-08,BBRI.JK,BBRI,4231.7911184210525,4258.239812911184,4178.89372944079,4187.7099609375,222042100,4145.3919,3927.1903,59.93,0.355246,bullish,-0.010417
2024-07-09,BBRI.JK,BBRI,4214.1587966824945,4346.402273565837,4187.710101305826,4293.5048828125,291320400,4198.2894,3950.1125,64.26,0.336269,bullish,0.025263
2024-07-10,BBRI.JK,BBRI,4293.505022752899,4337.586183150773,4267.056326514175,4275.87255859375,167619700,4242.3706,3969.949,63.04,0.337368,bullish,-0.004107
2024-07-11,BBRI.JK,BBRI,4328.769774381779,4337.586006101497,4267.05615234375,4267.05615234375,170461300,4251.1869,3991.9896,62.4,0.331293,bullish,-0.002062
2024-07-12,BBRI.JK,BBRI,4381.666741071429,4390.482971938775,4302.320663265306,4319.953125,301125400,4268.8193,4016.2342,64.71,0.331869,bullish,0.012397
2024-07-15,BBRI.JK,BBRI,4337.586148210581,4346.402380219139,4240.6075961164415,4249.423828125,188713000,4281.1621,4038.7156,59.46,0.337173,bullish,-0.016326
2024-07-16,BBRI.JK,BBRI,4249.423722829677,4267.056186409884,4170.07763671875,4170.07763671875,189271400,4256.4767,4062.9603,54.14,0.323082,bullish,-0.018672
2024-07-17,BBRI.JK,BBRI,4187.709648068211,4240.607033096441,4161.260955554097,4196.52587890625,263325400,4240.6073,4092.0538,55.57,0.308715,bullish,0.006342
2024-07-18,BBRI.JK,BBRI,4196.5261974373725,4311.13720703125,4187.709965930151,4311.13720703125,296614900,4249.4235,4119.3841,61.2,0.291791,bullish,0.027311
