date,stock_id,ticker,open,high,low,close,volume,ma_5,ma_20,rsi_14,volatility_20d,trend,daily_return
2024-04-03,BRIS.JK,BRIS,2646.793337735263,2646.793337735263,2548.399533358487,2597.596435546875,24102000,,,,,neutral,
2024-04-04,BRIS.JK,BRIS,2617.2752153445513,2695.990259415064,2607.4358348357373,2686.15087890625,35017300,,,,,neutral,0.034091
2024-04-05,BRIS.JK,BRIS,2686.150954861111,2705.829716435185,2646.793431712963,2656.6328125,13370900,,,,,neutral,-0.010989
2024-04-16,BRIS.JK,BRIS,2548.3992656632963,2597.5961626838234,2479.5236098345586,2509.041748046875,39244700,,,,,neutral,-0.055556
2024-04-17,BRIS.JK,BRIS,2528.7206804829257,2558.238820722026,2420.487499606225,2440.166259765625,35246500,2577.9176,,,,neutral,-0.027451
2024-04-18,BRIS.JK,BRIS,2469.684586275541,2577.917775315505,2469.684586275541,2558.239013671875,60707600,2570.0461,,,,neutral,0.048387
2024-04-19,BRIS.JK,BRIS,2518.881397637795,2528.7207780973176,2430.3269735020913,2499.20263671875,43648900,2532.6565,,,,neutral,-0.023077
2024-04-22,BRIS.JK,BRIS,2499.20263671875,2518.881397637795,2440.1663539616143,2499.20263671875,33008100,2501.1705,,,,neutral,0.0
2024-04-23,BRIS.JK,BRIS,2509.0421095628003,2587.7571561373197,2489.363347919171,2558.239013671875,39282900,2511.0099,,,,neutral,0.023622
2024-04-24,BRIS.JK,BRIS,2577.91767467152,2627.1145768599076,2558.238913796165,2597.596435546875,33088200,2542.4959,,,,neutral,0.015385
2024-04-25,BRIS.JK,BRIS,2597.5963390261627,2607.4357190982314,2538.56005859375,2538.56005859375,15328800,2538.5602,,,,neutral,-0.022727
2024-04-26,BRIS.JK,BRIS,2538.5600862696106,2558.2388466282896,2430.326904296875,2430.326904296875,34490800,2524.785,,,,neutral,-0.042636
2024-04-29,BRIS.JK,BRIS,2440.1664280378486,2489.363331828934,2420.487666521414,2469.6845703125,23565700,2518.8814,,,,neutral,0.016194
2024-04-30,BRIS.JK,BRIS,2479.5238702947445,2597.596435546875,2479.5238702947445,2597.596435546875,37794200,2526.7529,,,,neutral,0.051793
2024-05-02,BRIS.JK,BRIS,2597.5964413139764,2597.5964413139764,2469.684495340182,2499.20263671875,33703700,2507.0741,,66.9,,neutral,-0.037879
2024-05-03,BRIS.JK,BRIS,2509.0420358171937,2607.435841143358,2479.523894219344,2587.757080078125,34475700,2516.9135,,69.49,,neutral,0.035433
2024-05-06,BRIS.JK,BRIS,2627.114452074933,2823.902051481295,2627.114452074933,2745.18701171875,97349400,2579.8855,,73.46,,neutral,0.060836
2024-05-07,BRIS.JK,BRIS,2745.1872395833334,2755.0266203703704,2656.6328125,2656.6328125,35836500,2617.2752,,68.09,,neutral,-0.032258
2024-05-08,BRIS.JK,BRIS,2656.632724071112,2695.9902459092027,2469.684495340182,2499.20263671875,87917000,2597.5964,,59.72,,neutral,-0.059259
