date,stock_id,ticker,open,high,low,close,volume,ma_5,ma_20,rsi_14,volatility_20d,trend,daily_return
2024-04-03,EMTK.JK,EMTK,402.122587383918,403.984266029214,394.6758728027344,394.6758728027344,13740100,,,,,neutral,
2024-04-04,EMTK.JK,EMTK,396.53752193272675,398.3992004394531,390.9524864125475,398.3992004394531,7491300,,,,,neutral,0.009434
2024-04-05,EMTK.JK,EMTK,394.67585903433866,400.2608947753906,392.814180453988,400.2608947753906,6043700,,,,,neutral,0.004673
2024-04-16,EMTK.JK,EMTK,398.3992274015853,398.3992274015853,379.7824410744084,383.50579833984375,25707300,,,,,neutral,-0.04186
2024-04-17,EMTK.JK,EMTK,383.5058109149262,389.09084699621155,364.88902397730845,370.47406005859375,27188100,389.4632,,,,neutral,-0.033981
2024-04-18,EMTK.JK,EMTK,370.47402735001003,372.33570587940704,361.16563470302486,363.0273132324219,19675700,383.1335,,,,neutral,-0.020101
2024-04-19,EMTK.JK,EMTK,361.1656289590372,361.1656289590372,340.6871654613598,344.4105224609375,35023300,372.3357,,,,neutral,-0.051282
2024-04-22,EMTK.JK,EMTK,344.4105685654507,351.85728356146046,336.96385356944097,346.2722473144531,17850000,361.538,,,,neutral,0.005406
2024-04-23,EMTK.JK,EMTK,346.2722473144531,361.1656773064726,344.4105685654507,346.2722473144531,20567100,354.0913,,,,neutral,0.0
2024-04-24,EMTK.JK,EMTK,346.27220096072637,349.99555796030404,340.6871654613598,344.4105224609375,12143600,348.8786,,,,neutral,-0.005376
2024-04-25,EMTK.JK,EMTK,344.410552144702,344.410552144702,335.10215884349384,340.68719482421875,9322900,344.4105,,,,neutral,-0.010811
2024-04-26,EMTK.JK,EMTK,338.8254809570313,338.8254809570313,325.7937316894531,325.7937316894531,14111700,340.6872,,,,neutral,-0.043716
2024-04-29,EMTK.JK,EMTK,325.7937671028994,348.1339111328125,325.7937671028994,348.1339111328125,27004400,341.0595,,,,neutral,0.068572
2024-04-30,EMTK.JK,EMTK,348.1338839357999,366.7506691730084,342.5488483646373,359.303955078125,28052600,343.6659,,,,neutral,0.032085
2024-05-02,EMTK.JK,EMTK,372.33573469535384,374.1974133688306,351.8572692871094,351.8572692871094,43725600,345.1552,,50.12,,neutral,-0.020725
2024-05-03,EMTK.JK,EMTK,351.8572535413377,361.16564649216673,348.13389636100607,349.9955749511719,16755900,347.0169,,49.15,,neutral,-0.005291
2024-05-06,EMTK.JK,EMTK,353.7189376831055,385.36747421264647,353.7189376831055,372.3357238769531,52697700,356.3253,,59.25,,neutral,0.06383
2024-05-07,EMTK.JK,EMTK,374.1973829789595,415.1543104691939,372.3357044566761,409.56927490234375,92702400,368.6124,,69.96,,neutral,0.1
2024-05-08,EMTK.JK,EMTK,409.5693001380334,422.60105059697077,383.5057992201585,387.2291564941406,73535500,374.1974,,59.8,,neutral,-0.054545
2024-05-13,EMTK.JK,EMTK,385.36746613258543,403.98425193609194,383.5057875522348,400.2608947753906,34605600,383.8781,366.8438,63.16,,bullish,0.033654
2024-05-14,EMTK.JK,EMTK,400.2608937724655,403.9842509238373,392.814179469722,396.53753662109375,14162700,393.1865,366.9369,61.58,0.657294,bullish,-0.009302
2024-05-15,EMTK.JK,EMTK,403.9842642270602,403.9842642270602,385.3674778571496,387.2291564941406,18807300,396.1652,366.3783,57.69,0.662078,bullish,-0.023474
2024-05-16,EMTK.JK,EMTK,389.09080790582107,413.2926284932645,387.22912939909463,398.3992004394531,62230000,393.9312,366.2853,60.88,0.670148,bullish,0.028846
2024-05-17,EMTK.JK,EMTK,400.260897675251,426.32439798898827,396.53754048757423,411.43096923828125,92386700,398.7716,367.6815,64.27,0.659683,bullish,0.03271
2024-05-20,EMTK.JK,EMTK,417.01603732638887,418.8777160644531,407.7076436360677,418.8777160644531,22949300,402.4949,370.1017,66.08,0.64532,bullish,0.0181
2024-05-21,EMTK.JK,EMTK,418.87768361363476,422.6010408013115,402.12257626908934,411.43096923828125,30500400,405.4736,372.5219,62.66,0.644081,bullish,-0.017778
2024-05-22,EMTK.JK,EMTK,411.43096923828125,418.87768361363476,405.8459334567661,411.43096923828125,16849700,410.314,375.8729,62.66,0.607151,bullish,0.0
2024-05-27,EMTK.JK,EMTK,409.56930785052543,428.1860945710039,400.2609144902862,420.7393798828125,78801200,414.782,379.5963,65.27,0.608644,bullish,0.022624
2024-05-28,EMTK.JK,EMTK,422.6010245583274,430.04773864746096,407.70759638006035,409.56927490234375,69604700,414.4097,382.7611,59.87,0.621854,bullish,-0.026549
2024-05-29,EMTK.JK,EMTK,411.43096625749456,413.2926448378452,394.67585903433866,400.2608947753906,38440000,410.6863,385.5536,55.74,0.630221,bullish,-0.022727
2024-05-30,EMTK.JK,EMTK,400.2608616544172,405.84589693331606,387.2291126703199,392.81414794921875,24524100,406.9629,388.16,52.61,0.633948,bullish,-0.018605
