date,stock_id,ticker,open,high,low,close,volume,ma_5,ma_20,rsi_14,volatility_20d,trend,daily_return
2024-04-02,GOTO.JK,GOTO,68.0,70.0,68.0,70.0,2224757900,,,,,neutral,
2024-04-03,GOTO.JK,GOTO,69.0,70.0,68.0,68.0,1190322400,,,,,neutral,-0.028571
2024-04-04,GOTO.JK,GOTO,68.0,69.0,67.0,69.0,1093429800,,,,,neutral,0.014706
2024-04-05,GOTO.JK,GOTO,69.0,69.0,67.0,68.0,1149877400,,,,,neutral,-0.014493
2024-04-16,GOTO.JK,GOTO,67.0,68.0,64.0,65.0,3869433700,68.0,,,,neutral,-0.044118
2024-04-17,GOTO.JK,GOTO,66.0,66.0,62.0,62.0,2984317500,66.4,,,,neutral,-0.046154
2024-04-18,GOTO.JK,GOTO,63.0,64.0,61.0,62.0,1902357100,65.2,,,,neutral,0.0
2024-04-19,GOTO.JK,GOTO,61.0,62.0,59.0,59.0,3167130600,63.2,,,,neutral,-0.048387
2024-04-22,GOTO.JK,GOTO,59.0,63.0,59.0,59.0,1962140100,61.4,,,,neutral,0.0
2024-04-23,GOTO.JK,GOTO,59.0,63.0,59.0,61.0,3051562600,60.6,,,,neutral,0.033898
2024-04-24,GOTO.JK,GOTO,62.0,65.0,61.0,64.0,2611959200,61.0,,,,neutral,0.04918
2024-04-25,GOTO.JK,GOTO,63.0,64.0,61.0,62.0,1395079800,61.0,,,,neutral,-0.03125
2024-04-26,GOTO.JK,GOTO,61.0,64.0,61.0,61.0,1793162200,61.4,,,,neutral,-0.016129
2024-04-29,GOTO.JK,GOTO,61.0,65.0,61.0,63.0,2183315600,62.2,,41.1,,neutral,0.032787
2024-04-30,GOTO.JK,GOTO,64.0,64.0,62.0,63.0,2530850000,62.6,,41.1,,neutral,0.0
2024-05-02,GOTO.JK,GOTO,63.0,64.0,62.0,63.0,1609394400,62.4,,41.1,,neutral,0.0
2024-05-03,GOTO.JK,GOTO,63.0,66.0,63.0,66.0,4524284200,63.2,,52.63,,neutral,0.047619
2024-05-06,GOTO.JK,GOTO,67.0,70.0,66.0,69.0,4215661500,64.8,,60.87,,neutral,0.045455
2024-05-07,GOTO.JK,GOTO,69.0,70.0,65.0,65.0,2250633100,65.2,,48.7,,neutral,-0.057971
2024-05-08,GOTO.JK,GOTO,65.0,67.0,64.0,67.0,1821308400,66.0,64.3,53.69,,bullish,0.030769
2024-05-13,GOTO.JK,GOTO,67.0,68.0,65.0,67.0,2011559400,66.8,64.15,53.69,0.5433,bullish,0.0
2024-05-14,GOTO.JK,GOTO,67.0,67.0,65.0,65.0,1286399300,66.6,64.0,48.25,0.5442,bullish,-0.029851
2024-05-15,GOTO.JK,GOTO,66.0,67.0,64.0,66.0,1437856700,66.0,63.85,50.92,0.5444,bullish,0.015385
2024-05-16,GOTO.JK,GOTO,67.0,68.0,64.0,66.0,2169049600,66.2,63.75,50.92,0.5425,bullish,0.0
2024-05-17,GOTO.JK,GOTO,65.0,69.0,64.0,66.0,4139900700,66.0,63.8,50.92,0.5174,bullish,0.0
2024-05-20,GOTO.JK,GOTO,67.0,67.0,65.0,65.0,2106424900,65.6,63.95,47.83,0.4898,bullish,-0.015152
2024-05-21,GOTO.JK,GOTO,66.0,66.0,64.0,64.0,1189219500,65.4,64.05,44.9,0.4939,bullish,-0.015385
2024-05-22,GOTO.JK,GOTO,64.0,67.0,64.0,66.0,2527051500,65.4,64.4,51.33,0.4649,bullish,0.03125
2024-05-27,GOTO.JK,GOTO,67.0,72.0,66.0,70.0,6008134500,66.2,64.95,61.11,0.501,bullish,0.060606
2024-05-28,GOTO.JK,GOTO,70.0,74.0,69.0,74.0,4578295900,67.8,65.6,68.02,0.5214,bullish,0.057143
2024-05-29,GOTO.JK,GOTO,73.0,73.0,70.0,71.0,2986520500,69.0,65.95,59.48,0.5307,bullish,-0.040541
2024-05-30,GOTO.JK,GOTO,70.0,71.0,67.0,67.0,4459371700,69.6,66.2,50.39,0.5622,bullish,-0.056338
2024-05-31,GOTO.JK,GOTO,68.0,70.0,65.0,65.0,8579592100,69.4,66.4,46.56,0.571,bullish,-0.029851
2024-06-03,GOTO.JK,GOTO,65.0,67.0,63.0,64.0,2819780100,68.2,66.45,44.73,0.5638,bullish,-0.015385
2024-06-04,GOTO.JK,GOTO,65.0,65.0,61.0,61.0,3897345000,65.6,66.35,39.69,0.5899,bearish,-0.046875
2024-06-05,GOTO.JK,GOTO,60.0,61.0,59.0,59.0,2941421600,63.2,66.15,36.72,0.6004,bearish,-0.032787
2024-06-06,GOTO.JK,GOTO,60.0,62.0,59.0,60.0,3653448500,61.8,65.85,39.17,0.5765,bearish,0.016949
2024-06-07,GOTO.JK,GOTO,60.0,61.0,58.0,58.0,2112800200,60.4,65.3,36.15,0.5545,bearish,-0.033333
2024-06-10,GOTO.JK,GOTO,58.0,59.0,50.0,56.0,12293676100,58.8,64.85,33.38,0.5308,bearish,-0.034483
2024-06-11,GOTO.JK,GOTO,55.0,56.0,53.0,53.0,5391123100,57.2,64.15,29.71,0.5367,bearish,-0.053571
2024-06-12,GOTO.JK,GOTO,54.0,55.0,52.0,52.0,4916057200,55.8,63.4,28.58,0.5355,bearish,-0.018868
2024-06-13,GOTO.JK,GOTO,53.0,54.0,51.0,52.0,6275740200,54.2,62.75,28.58,0.533,bearish,0.0
2024-06-14,GOTO.JK,GOTO,52.0,53.0,51.0,52.0,3781341000,53.0,62.05,28.58,0.5257,bearish,0.0
2024-06-19,GOTO.JK,GOTO,51.0,52.0,50.0,50.0,9357880800,51.8,61.25,26.1,0.5323,bearish,-0.038462
