date,stock_id,ticker,open,high,low,close,volume,ma_5,ma_20,rsi_14,volatility_20d,trend,daily_return
2024-04-03,MDKA.JK,MDKA,2370.0,2410.0,2350.0,2390.0,55340500,,,,,neutral,
2024-04-04,MDKA.JK,MDKA,2420.0,2720.0,2410.0,2680.0,172946200,,,,,neutral,0.121339
2024-04-05,MDKA.JK,MDKA,2670.0,2730.0,2600.0,2620.0,63192600,,,,,neutral,-0.022388
2024-04-16,MDKA.JK,MDKA,2720.0,2890.0,2690.0,2880.0,133170200,,,,,neutral,0.099237
2024-04-17,MDKA.JK,MDKA,2880.0,2930.0,2760.0,2840.0,85988900,2682.0,,,,neutral,-0.013889
2024-04-18,MDKA.JK,MDKA,2820.0,2820.0,2720.0,2760.0,57006700,2756.0,,,,neutral,-0.028169
2024-04-19,MDKA.JK,MDKA,2810.0,2860.0,2770.0,2800.0,71672100,2780.0,,,,neutral,0.014493
2024-04-22,MDKA.JK,MDKA,2840.0,2840.0,2680.0,2680.0,41174400,2792.0,,,,neutral,-0.042857
2024-04-23,MDKA.JK,MDKA,2680.0,2680.0,2540.0,2560.0,88104600,2728.0,,,,neutral,-0.044776
2024-04-24,MDKA.JK,MDKA,2570.0,2600.0,2560.0,2600.0,25885700,2680.0,,,,neutral,0.015625
2024-04-25,MDKA.JK,MDKA,2610.0,2630.0,2490.0,2520.0,38607800,2632.0,,,,neutral,-0.030769
2024-04-26,MDKA.JK,MDKA,2550.0,2580.0,2510.0,2510.0,29275800,2574.0,,,,neutral,-0.003968
2024-04-29,MDKA.JK,MDKA,2530.0,2610.0,2470.0,2580.0,38002100,2554.0,,,,neutral,0.027888
2024-04-30,MDKA.JK,MDKA,2590.0,2710.0,2590.0,2630.0,53443600,2568.0,,,,neutral,0.01938
2024-05-02,MDKA.JK,MDKA,2630.0,2650.0,2500.0,2580.0,54645000,2564.0,,83.85,,neutral,-0.019011
2024-05-03,MDKA.JK,MDKA,2590.0,2610.0,2530.0,2560.0,16984000,2572.0,,83.03,,neutral,-0.007752
2024-05-06,MDKA.JK,MDKA,2640.0,2640.0,2570.0,2630.0,25346900,2596.0,,83.64,,neutral,0.027344
2024-05-07,MDKA.JK,MDKA,2650.0,2720.0,2630.0,2650.0,45654300,2610.0,,83.81,,neutral,0.007605
2024-05-08,MDKA.JK,MDKA,2670.0,2750.0,2670.0,2710.0,36967400,2626.0,,84.36,,neutral,0.022642
2024-05-13,MDKA.JK,MDKA,2710.0,2800.0,2710.0,2750.0,49769400,2660.0,2646.5,84.73,,bullish,0.01476
2024-05-14,MDKA.JK,MDKA,2770.0,2800.0,2730.0,2730.0,31630500,2694.0,2663.5,83.66,0.665215,bullish,-0.007273
2024-05-15,MDKA.JK,MDKA,2700.0,2810.0,2680.0,2750.0,63959800,2718.0,2667.0,83.88,0.511789,bullish,0.007326
2024-05-16,MDKA.JK,MDKA,2780.0,2820.0,2730.0,2740.0,70660300,2736.0,2673.0,83.28,0.504322,bullish,-0.003636
2024-05-17,MDKA.JK,MDKA,2750.0,2770.0,2720.0,2740.0,31984100,2742.0,2666.0,83.28,0.352602,bullish,0.0
2024-05-20,MDKA.JK,MDKA,2780.0,2880.0,2770.0,2840.0,110414700,2760.0,2666.0,84.57,0.375182,bullish,0.036496
