date,stock_id,ticker,open,high,low,close,volume,ma_5,ma_20,rsi_14,volatility_20d,trend,daily_return
2024-04-02,TLKM.JK,TLKM,3022.6894153496596,3057.63380165428,2979.0089324688843,3048.897705078125,233017700,,,,,neutral,
2024-04-03,TLKM.JK,TLKM,3013.953407689145,3048.8977950246713,2987.7451171875,2987.7451171875,150265700,,,,,neutral,-0.020057
2024-04-04,TLKM.JK,TLKM,2979.008982252038,3022.6894658627716,2979.008982252038,3013.953369140625,205184000,,,,,neutral,0.008772
2024-04-05,TLKM.JK,TLKM,3005.217297968294,3013.9533947647137,2987.7451043754554,2996.481201171875,116051700,,,,,neutral,-0.005797
2024-04-16,TLKM.JK,TLKM,2847.9675808545226,2865.4397746020963,2751.870515242867,2813.023193359375,490658200,2972.02,,,,neutral,-0.061224
2024-04-17,TLKM.JK,TLKM,2813.0232192993167,2830.495413208008,2795.551025390625,2795.551025390625,187876400,2921.35,,,,neutral,-0.006211
2024-04-18,TLKM.JK,TLKM,2786.814864783654,2891.6480258413458,2716.926090745192,2839.2314453125,337490100,2891.65,,,,neutral,0.015625
2024-04-19,TLKM.JK,TLKM,2821.759132409474,2821.759132409474,2734.398168557788,2751.870361328125,149997000,2839.23,,,,neutral,-0.030769
2024-04-22,TLKM.JK,TLKM,2751.8705792833202,2795.5510646687694,2734.39838512914,2769.3427734375,140971800,2793.8,,,,neutral,0.006349
2024-04-23,TLKM.JK,TLKM,2778.078714087702,2786.814810672883,2690.717748235887,2708.18994140625,312052300,2772.84,,,,neutral,-0.022082
2024-04-24,TLKM.JK,TLKM,2708.1900185032896,2716.9261153371713,2655.7734375,2655.7734375,327330800,2744.88,,,,neutral,-0.019355
2024-04-25,TLKM.JK,TLKM,2629.5651469983554,2673.2456311677633,2612.092953330592,2655.7734375,369525200,2708.19,,,,neutral,0.0
2024-04-26,TLKM.JK,TLKM,2603.356629022277,2673.2453975866338,2585.8844368811883,2647.037109375,442527900,2687.22,,,,neutral,-0.00329
2024-04-29,TLKM.JK,TLKM,2647.0372901024757,2699.453870104505,2629.565096768466,2690.7177734375,172773600,2671.5,,24.42,,neutral,0.016502
2024-04-30,TLKM.JK,TLKM,2725.6622880520504,2795.5510646687694,2716.9261909749603,2769.3427734375,273121800,2683.73,,38.13,,neutral,0.029221
2024-05-02,TLKM.JK,TLKM,2769.342591897035,2795.5508814102564,2725.662109375,2725.662109375,157637100,2697.71,,34.4,,neutral,-0.015773
2024-05-03,TLKM.JK,TLKM,2778.078638004351,2778.078638004351,2725.662059928797,2760.6064453125,127945300,2718.67,,39.5,,neutral,0.01282
2024-05-06,TLKM.JK,TLKM,2778.078525230533,2795.5507172131147,2655.7731813524592,2664.50927734375,221330900,2722.17,,32.11,,neutral,-0.03481
2024-05-07,TLKM.JK,TLKM,2681.9816641699535,2716.9260506737965,2673.245567543993,2699.453857421875,124914600,2723.91,,36.74,,neutral,0.013115
2024-05-08,TLKM.JK,TLKM,2734.3982567725243,2751.870450106534,2664.5094834364854,2690.7177734375,120622600,2708.19,2784.19,36.08,,bearish,-0.003236
2024-05-13,TLKM.JK,TLKM,2681.9816641699535,2708.1899540478357,2655.7733742920714,2699.453857421875,133048300,2702.95,2766.72,37.3,0.3439,bearish,0.003247
2024-05-14,TLKM.JK,TLKM,2708.189916366186,2725.662109375,2690.717723357372,2725.662109375,104126800,2695.96,2753.62,40.94,0.344,bearish,0.009709
2024-05-15,TLKM.JK,TLKM,2725.662134576613,2734.3982311617947,2681.9816516507058,2708.18994140625,149143600,2704.7,2738.33,39.3,0.3404,bearish,-0.00641
2024-05-16,TLKM.JK,TLKM,2743.882806011213,2827.311675112905,2743.882806011213,2790.232177734375,196239200,2722.85,2728.02,49.52,0.3625,bearish,0.030294
2024-05-17,TLKM.JK,TLKM,2827.3118769923185,2827.3118769923185,2762.422751946593,2771.692626953125,120345300,2739.05,2725.95,47.57,0.2869,bullish,-0.006644
2024-05-20,TLKM.JK,TLKM,2734.6131269269963,2780.9625019596574,2734.6131269269963,2771.692626953125,215877500,2753.49,2724.76,47.57,0.2861,bullish,0.0
2024-05-21,TLKM.JK,TLKM,2771.6925359176375,2771.6925359176375,2706.803413003178,2734.613037109375,138864400,2755.28,2719.53,43.59,0.2832,bullish,-0.013378
2024-05-22,TLKM.JK,TLKM,2762.422761878189,2762.422761878189,2697.533636599171,2725.34326171875,145109200,2758.71,2718.2,42.63,0.2613,bullish,-0.00339
2024-05-27,TLKM.JK,TLKM,2688.2635867298713,2706.8033356038704,2577.0250934858764,2604.834716796875,246979600,2721.64,2709.97,32.59,0.3041,bullish,-0.044218
2024-05-28,TLKM.JK,TLKM,2604.8347099677667,2669.7238308566434,2604.8347099677667,2651.18408203125,113093300,2697.53,2707.12,38.58,0.3036,bearish,0.017794
2024-05-29,TLKM.JK,TLKM,2641.914214544873,2651.1840889818727,2604.834716796875,2604.834716796875,148952900,2664.16,2704.58,35.21,0.3021,bearish,-0.017483
2024-05-30,TLKM.JK,TLKM,2604.834716796875,2660.4539634188723,2521.405846863879,2604.834716796875,253471800,2638.21,2702.03,35.21,0.3021,bearish,0.0
2024-05-31,TLKM.JK,TLKM,2632.6444234913793,2706.8034213362066,2604.8347992995687,2688.263671875,411324600,2630.79,2704.09,45.2,0.3231,bearish,0.032029
2024-06-03,TLKM.JK,TLKM,2716.0732421875,2753.15274037436,2688.263618547355,2716.0732421875,124570400,2653.04,2705.36,48.08,0.3199,bearish,0.010345
2024-06-04,TLKM.JK,TLKM,2762.422652994792,2836.5816503906253,2725.343154296875,2780.96240234375,130203100,2678.99,2705.94,54.13,0.3143,bearish,0.023891
2024-06-05,TLKM.JK,TLKM,2780.962297028186,2855.1212916156046,2780.962297028186,2836.58154296875,141157300,2725.34,2711.49,58.58,0.3156,bullish,0.02
2024-06-06,TLKM.JK,TLKM,2873.6611408171107,2873.6611408171107,2808.772018282531,2827.311767578125,107996900,2769.84,2714.82,57.58,0.3135,bullish,-0.003268
2024-06-07,TLKM.JK,TLKM,2827.311767578125,2864.391266169314,2827.311767578125,2827.311767578125,67191100,2797.65,2722.96,57.58,0.2822,bullish,0.0
2024-06-10,TLKM.JK,TLKM,2827.311675112905,2827.311675112905,2762.4225547004776,2790.232177734375,66983900,2812.48,2727.5,53.34,0.2852,bullish,-0.013115
2024-06-11,TLKM.JK,TLKM,2743.8828735351562,2762.422622680664,2669.723876953125,2669.723876953125,172688100,2790.23,2726.45,42.41,0.3282,bullish,-0.043189
